,X,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS.max,habitat_score,habitat_comment,English,bodymass,mass_comments
148,29,bicthr,Catharus bicknelli,Bicknell's Thrush,Bicknell's Thrush,landbird,Passeriformes,Turdidae,17,1,,Bicknell's Thrush,27.79,
149,32,bkbwar,Setophaga fusca,Blackburnian Warbler,Blackburnian Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,9.74,
150,34,bkcchi,Poecile atricapillus,Black-capped Chickadee,Black-capped Chickadee,landbird,Passeriformes,Paridae,7,1,,NA,10.8,
151,35,bkpwar,Setophaga striata,Blackpoll Warbler,Blackpoll Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,11.84,
152,39,blugrb1,Passerina caerulea,Blue Grosbeak,Blue Grosbeak,landbird,Passeriformes,Cardinalidae,7,1,,Blue Grosbeak,27.39,
153,40,blujay,Cyanocitta cristata,Blue Jay,Blue Jay,landbird,Passeriformes,Corvidae,8,1,,Blue Jay,88,
154,41,bnhcow,Molothrus ater,Brown-headed Cowbird,Brown-headed Cowbird,landbird,Passeriformes,Icteridae,8,1,,Brown-headed Cowbird,40.26,
155,42,bnhnut,Sitta pusilla,Brown-headed Nuthatch,Brown-headed Nuthatch,landbird,Passeriformes,Sittidae,13,1,,Brown-headed Nuthatch,10.2,
156,43,boboli,Dolichonyx oryzivorus,Bobolink,Bobolink,landbird,Passeriformes,Icteridae,14,1,,Bobolink,31.46,
157,44,bohwax,Bombycilla garrulus,Bohemian Waxwing,Bohemian Waxwing,landbird,Passeriformes,Bombycillidae,11,1,,Bohemian Waxwing,54.41,
158,46,botgra,Quiscalus major,Boat-tailed Grackle,Boat-tailed Grackle,landbird,Passeriformes,Icteridae,13,1,,Boat-tailed Grackle,151.21,
159,49,brebla,Euphagus cyanocephalus,Brewer's Blackbird,Brewer's Blackbird,landbird,Passeriformes,Icteridae,11,1,,Brewer's Blackbird,62.48,
160,50,brncre,Certhia americana,Brown Creeper,Brown Creeper,landbird,Passeriformes,Certhiidae,8,1,,American Treecreeper,8.1,
161,53,brnthr,Toxostoma rufum,Brown Thrasher,Brown Thrasher,landbird,Passeriformes,Mimidae,11,1,,Brown Thrasher,68.8,
162,55,btbwar,Setophaga caerulescens,Black-throated Blue Warbler,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,10.14,
163,56,btnwar,Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,8.69,
164,59,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,8,1,,Blue-grey Gnatcatcher,5.8,
165,60,buhvir,Vireo solitarius,Blue-headed Vireo,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,8,1,,Blue-headed Vireo,15.3,
166,62,buwwar,Vermivora cyanoptera,Blue-winged Warbler,Blue-winged Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,8.9,
167,65,camwar,Setophaga tigrina,Cape May Warbler,Cape May Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,10.04,
168,68,canwar,Cardellina canadensis,Canada Warbler,Canada Warbler,landbird,Passeriformes,Parulidae,13,1,,NA,10.04,
169,69,carchi,Poecile carolinensis,Carolina Chickadee,Carolina Chickadee,landbird,Passeriformes,Paridae,9,1,,NA,9.99,
170,70,carwre,Thryothorus ludovicianus,Carolina Wren,Carolina Wren,landbird,Passeriformes,Troglodytidae,7,1,,Carolina Wren,18.96,
171,73,cedwax,Bombycilla cedrorum,Cedar Waxwing,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,8,1,,Cedar Waxwing,31.58,
172,74,cerwar,Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,9.04,
173,75,chispa,Spizella passerina,Chipping Sparrow,Chipping Sparrow,landbird,Passeriformes,Passerellidae,9,1,,Chipping Sparrow,12.2,
174,77,chswar,Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,12,1,,NA,9.29,
175,81,clcspa,Spizella pallida,Clay-colored Sparrow,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,10,1,,Clay-coloured Sparrow,11.2,
176,82,cliswa,Petrochelidon pyrrhonota,Cliff Swallow,Cliff Swallow,landbird,Passeriformes,Hirundinidae,5,2,,Cliff Swallow,21.6,
177,85,comgra,Quiscalus quiscula,Common Grackle,Common Grackle,landbird,Passeriformes,Icteridae,10,1,,Common Grackle,105.18,
178,89,comrav,Corvus corax,Common Raven,Common Raven,landbird,Passeriformes,Corvidae,6,1,,Common Raven,927.97,
179,90,comred,Acanthis flammea,Common Redpoll,Common Redpoll,landbird,Passeriformes,Fringillidae,9,1,,NA,13,
180,91,comyel,Geothlypis trichas,Common Yellowthroat,Common Yellowthroat,landbird,Passeriformes,Parulidae,9,2,,Common Yellowthroat,9.54,
181,93,daejun,Junco hyemalis,Dark-eyed Junco,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,9,1,,Dark-eyed Junco,19.5,
182,94,dickci,Spiza americana,Dickcissel,Dickcissel,landbird,Passeriformes,Cardinalidae,10,1,,Dickcissel,26.18,
183,98,easblu,Sialia sialis,Eastern Bluebird,Eastern Bluebird,landbird,Passeriformes,Turdidae,7,1,,Eastern Bluebird,27.5,
