"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"47","Tyto alba","Barn Owl","landbird","Strigiformes","Tytonidae",403.32,14.72352047,3,19.7133655,5,1,8,2,1,"",4
"48","Aythya affinis","Lesser Scaup","waterfowl","Anseriformes","Anatidae",819.45,26.39639275,5,15.98772102,5,1,9,2,4,"",24
"49","Toxostoma rufum","Brown Thrasher","landbird","Passeriformes","Mimidae",68.8,3.431735418,3,8.064190755,2,4,11,4,1,"",14
"50","Buteo platypterus","Broad-winged Hawk","landbird","Accipitriformes","Accipitridae",453.65,16.22066743,4,33.45377128,5,1,8,1,1,"",2.5
"51","Setophaga caerulescens","Black-throated Blue Warbler","landbird","Passeriformes","Parulidae",10.14,0.709141098,1,7.691523347,2,4,10,3,1,"",7.5
"52","Setophaga virens","Black-throated Green Warbler","landbird","Passeriformes","Parulidae",8.69,0.624515527,2,8.426362241,3,3,11,4,1,"",10
"53","Calidris subruficollis","Buff-breasted Sandpiper","shorebird","Charadriiformes","Scolopacidae",62.1,3.154065349,3.535714286,7.213733323,2,4,15,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",94.196428575
"54","Aythya americana","Redhead","waterfowl","Anseriformes","Anatidae",1075.69,33.02578063,5,8.37431307,3,3,8,2,4,"",32
"55","Polioptila caerulea","Blue-gray Gnatcatcher","landbird","Passeriformes","Polioptilidae",5.8,0.447655115,2,13.21984428,4,2,8,2,1,"",4
"56","Vireo solitarius","Blue-headed Vireo","landbird","Passeriformes","Vireonidae",15.3,0.995070031,2,11.00981344,4,2,8,1,1,"",2
"57","Aythya collaris","Ring-necked Duck","waterfowl","Anseriformes","Anatidae",704.55,23.30849717,5,11.91732195,4,2,8,1,4,"",14
"58","Vermivora cyanoptera","Blue-winged Warbler","landbird","Passeriformes","Parulidae",8.9,0.636917404,1.470588235,22.74741917,5,1,14,5,1,"",6.1764705875
"59","Aythya marila","Greater Scaup","waterfowl","Anseriformes","Anatidae",1005.37,31.23734829,5,9.577922614,3,3,10,3,4,"",48
"60","Setophaga tigrina","Cape May Warbler","landbird","Passeriformes","Parulidae",10.04,0.703376923,1,9.956351054,3,3,11,4,1,"",8
"61","Aythya valisineria","Canvasback","waterfowl","Anseriformes","Anatidae",1202,36.18762063,5,8.244126707,2,4,10,3,4,"",54
"62","Botaurus lentiginosus","American Bittern","waterbird","Pelecaniformes","Ardeidae",706,23.34799332,4,8.125513734,2,4,12,4,3,"",48
"63","Cardellina canadensis","Canada Warbler","landbird","Passeriformes","Parulidae",10.04,0.703376923,1.470588235,13.70426137,4,2,13,5,1,"",8.6764705875
"64","Poecile carolinensis","Carolina Chickadee","landbird","Passeriformes","Paridae",9.99,0.70049104,1.444444444,19.99562472,5,1,9,3,1,"",3.666666666
"65","Thryothorus ludovicianus","Carolina Wren","landbird","Passeriformes","Troglodytidae",18.96,1.187298842,2,6.872878986,2,4,7,1,1,"",3
"66","Branta bernicla","Brant","waterfowl","Anseriformes","Anatidae",1277.91,38.05937473,5,13.08853487,4,2,13,5,4,"",70
"67","Branta canadensis","Canada Goose","waterfowl","Anseriformes","Anatidae",2811.68,72.85876559,5,11.32888925,4,2,6,1,4,"",14
"68","Bombycilla cedrorum","Cedar Waxwing","landbird","Passeriformes","Bombycillidae",31.58,1.807281823,2,17.45170801,5,1,8,1,1,"",1.5
"69","Setophaga cerulea","Cerulean Warbler","landbird","Passeriformes","Parulidae",9.04,0.645156598,1.470588235,11.1298482,4,2,14,5,1,"",8.6764705875
"70","Spizella passerina","Chipping Sparrow","landbird","Passeriformes","Passerellidae",12.2,0.825805278,1,6.975588938,2,4,9,2,1,"",5
"71","Chaetura pelagica","Chimney Swift","landbird","Apodiformes","Apodidae",23.6,1.421847875,2,10.73227893,3,3,13,5,1,"",12.5
"72","Setophaga pensylvanica","Chestnut-sided Warbler","landbird","Passeriformes","Parulidae",9.29,0.659813765,2,12.34057208,4,2,12,4,1,"",8
"73","Antrostomus carolinensis","Chuck-will's-widow","landbird","Caprimulgiformes","Caprimulgidae",109,5.01279882,2,11.76255111,4,2,12,4,1,"",8
"74","Spizella pallida","Clay-colored Sparrow","landbird","Passeriformes","Passerellidae",11.2,0.76964669,2.416666667,12.81323642,4,2,10,3,1,"",6.6250000005
"75","Petrochelidon pyrrhonota","Cliff Swallow","landbird","Passeriformes","Hirundinidae",21.6,1.321851885,1.25,18.45422861,5,1,5,1,2,"",2.25
"76","Branta hutchinsii","Cackling Goose","waterfowl","Anseriformes","Anatidae",2811.68,72.85876559,5,14.46559166,5,1,10,3,4,"",36
"77","Bubulcus ibis/coromandus","Western/Eastern Cattle Egret","waterbird","Pelecaniformes","Ardeidae",365.95,13.59054696,3.4,31.77653636,5,1,9,3,5,"Eastern cattle egret completely absent in FPV (Song et al. 2024)",33
"78","Quiscalus quiscula","Common Grackle","landbird","Passeriformes","Icteridae",105.18,4.867674502,3,8.508124762,3,3,10,3,1,"",9
"79","Bucephala albeola","Bufflehead","waterfowl","Anseriformes","Anatidae",397.46,14.54712705,5,17.73095333,5,1,8,1,4,"",12
"80","Bucephala clangula","Common Goldeneye","waterfowl","Anseriformes","Anatidae",918.56,28.99865439,5,11.93646962,4,2,9,2,4,"",28
"81","Chordeiles minor","Common Nighthawk","landbird","Caprimulgiformes","Caprimulgidae",79.3,3.85754621,2,11.66384916,4,2,11,4,1,"",8
"82","Corvus corax","Common Raven","landbird","Passeriformes","Corvidae",927.97,29.24307165,4,10.05751318,3,3,6,1,1,"",3.5
"83","Acanthis flammea","Common Redpoll","landbird","Passeriformes","Fringillidae",13,0.870147069,2.125,13.96872365,4,2,9,3,1,"",6.1875
"84","Geothlypis trichas","Common Yellowthroat","landbird","Passeriformes","Parulidae",9.54,0.67440147,2,16.19271501,5,1,9,2,2,"",6
"85","Accipiter cooperii","Cooper's Hawk","landbird","Accipitriformes","Accipitridae",429.67,15.51121311,4,18.13512423,5,1,7,1,1,"",2.5
"86","Junco hyemalis","Dark-eyed Junco","landbird","Passeriformes","Passerellidae",19.5,1.215076634,2,19.83101686,5,1,9,2,1,"",3
"87","Spiza americana","Dickcissel","landbird","Passeriformes","Cardinalidae",26.18,1.548667065,2,9.249221875,3,3,10,3,1,"",7.5
"88","Bucephala islandica","Barrow's Goldeneye","waterfowl","Anseriformes","Anatidae",921.21,29.06753054,5,10.27684834,3,3,13,5,5,"""Prefers open water without emergent or dense submerged vegetation.""",100
"89","Dryobates pubescens","Downy Woodpecker","landbird","Piciformes","Picidae",25.55,1.517911602,2,6.017030586,1,5,8,2,1,"",7
